country_name,admin1_name,latitude,longitude,aggregation,indicator,value
#country,#adm1+name,#geo+lat,#geo+lon,,#indicator+name,#indicator+num
Somalia,Middle Juba,1.75,41.75,none,crop-production.mai.noirr.USD,270258.0
Somalia,Middle Juba,1.75,42.25,none,crop-production.mai.noirr.USD,206423.0
Somalia,Middle Juba,1.25,42.75,none,crop-production.mai.noirr.USD,88035.0
Somalia,Middle Juba,0.75,42.75,none,crop-production.mai.noirr.USD,0.0
Somalia,Middle Juba,0.75,43.25,none,crop-production.mai.noirr.USD,53175.0
Somalia,Middle Juba,1.75,41.75,none,crop-production.mai.firr.USD,0.0
Somalia,Middle Juba,1.75,42.25,none,crop-production.mai.firr.USD,501219.0
Somalia,Middle Juba,1.25,42.75,none,crop-production.mai.firr.USD,572675.0
Somalia,Middle Juba,0.75,42.75,none,crop-production.mai.firr.USD,3079437.0
Somalia,Middle Juba,0.75,43.25,none,crop-production.mai.firr.USD,562213.0
Somalia,Middle Juba,1.75,41.75,none,crop-production.whe.noirr.USD,0.0
Somalia,Middle Juba,1.75,42.25,none,crop-production.whe.noirr.USD,0.0
Somalia,Middle Juba,1.25,42.75,none,crop-production.whe.noirr.USD,0.0
Somalia,Middle Juba,0.75,42.75,none,crop-production.whe.noirr.USD,0.0
Somalia,Middle Juba,0.75,43.25,none,crop-production.whe.noirr.USD,0.0
Somalia,Middle Juba,1.75,41.75,none,crop-production.whe.firr.USD,0.0
Somalia,Middle Juba,1.75,42.25,none,crop-production.whe.firr.USD,0.0
Somalia,Middle Juba,1.25,42.75,none,crop-production.whe.firr.USD,0.0
Somalia,Middle Juba,0.75,42.75,none,crop-production.whe.firr.USD,0.0
Somalia,Middle Juba,0.75,43.25,none,crop-production.whe.firr.USD,0.0
Somalia,Middle Juba,1.75,41.75,none,crop-production.soy.noirr.USD,0.0
Somalia,Middle Juba,1.75,42.25,none,crop-production.soy.noirr.USD,0.0
Somalia,Middle Juba,1.25,42.75,none,crop-production.soy.noirr.USD,0.0
Somalia,Middle Juba,0.75,42.75,none,crop-production.soy.noirr.USD,0.0
Somalia,Middle Juba,0.75,43.25,none,crop-production.soy.noirr.USD,0.0
Somalia,Middle Juba,1.75,41.75,none,crop-production.soy.firr.USD,0.0
Somalia,Middle Juba,1.75,42.25,none,crop-production.soy.firr.USD,0.0
Somalia,Middle Juba,1.25,42.75,none,crop-production.soy.firr.USD,0.0
Somalia,Middle Juba,0.75,42.75,none,crop-production.soy.firr.USD,0.0
Somalia,Middle Juba,0.75,43.25,none,crop-production.soy.firr.USD,0.0
Somalia,Middle Juba,1.75,41.75,none,crop-production.ric.noirr.USD,0.0
Somalia,Middle Juba,1.75,42.25,none,crop-production.ric.noirr.USD,0.0
Somalia,Middle Juba,1.25,42.75,none,crop-production.ric.noirr.USD,0.0
Somalia,Middle Juba,0.75,42.75,none,crop-production.ric.noirr.USD,0.0
Somalia,Middle Juba,0.75,43.25,none,crop-production.ric.noirr.USD,0.0
Somalia,Middle Juba,1.75,41.75,none,crop-production.ric.firr.USD,0.0
Somalia,Middle Juba,1.75,42.25,none,crop-production.ric.firr.USD,0.0
Somalia,Middle Juba,1.25,42.75,none,crop-production.ric.firr.USD,0.0
Somalia,Middle Juba,0.75,42.75,none,crop-production.ric.firr.USD,1155501.0
Somalia,Middle Juba,0.75,43.25,none,crop-production.ric.firr.USD,0.0
Somalia,Lower Juba,1.25,41.25,none,crop-production.mai.noirr.USD,381927.0
Somalia,Lower Juba,1.25,41.75,none,crop-production.mai.noirr.USD,351951.0
Somalia,Lower Juba,1.25,42.25,none,crop-production.mai.noirr.USD,119798.0
